Year,MID_LATITUDE,SEX,LENGTH,CLUTCH_SIZE
1982,57.147,2,114,6
1982,57.147,2,125,1
1982,57.147,2,135,1
1982,57.147,2,124,1
1982,57.147,2,106,6
1982,57.147,2,119,6
1982,57.147,2,131,6
1982,57.147,2,132,6
1982,57.147,2,97,6
1982,57.147,2,147,1
1982,57.147,2,124,1
1982,57.147,2,111,1
1982,57.147,2,138,1
1982,57.147,2,122,1
1982,57.147,2,137,1
1982,57.147,2,126,6
1982,57.147,2,99,1
1982,57.147,2,123,1
1982,57.147,2,118,6
1982,57.147,2,125,6
1982,57.147,2,122,1
1982,57.147,2,120,1
1982,57.147,2,133,1
1982,57.147,2,125,1
1982,57.147,2,126,6
1982,57.147,2,82,0
1982,57.147,2,88,0
1982,57.147,2,124,1
1982,57.147,2,80,0
1982,57.147,2,137,1
1982,57.147,2,109,1
1982,57.147,2,128,1
1982,57.147,2,177,0
1982,57.147,2,130,1
1982,57.147,2,114,6
1982,57.147,2,117,6
1982,57.147,2,128,1
1982,57.147,2,127,1
1982,57.147,2,118,1
1982,57.147,2,120,1
1982,57.147,2,141,1
1982,57.147,2,114,1
1982,57.147,2,129,1
1982,57.147,2,124,1
1982,57.147,2,125,6
1982,57.3225,2,66,0
1982,57.3225,2,118,6
1982,57.3225,2,80,0
1982,57.3225,2,119,6
1982,57.3225,2,118,1
1982,57.3225,2,122,1
1982,57.3225,2,118,6
1982,57.3225,2,79,0
1982,57.3225,2,132,6
1982,57.50258,2,108,6
1982,57.50258,2,118,6
1982,57.50258,2,122,6
1982,57.50258,2,131,6
1982,57.67275,2,104,1
1982,57.67275,2,88,1
1982,57.83425,2,117,1
1982,58.33258,2,128,2
1983,57.66533,2,96,1
1983,57.66533,2,93,1
1983,57.50308,2,116,3
1983,57.50308,2,98,1
1983,57.34233,2,103,6
1983,57.16767,2,116,1
1983,56.839,2,123,1
1983,57.00017,2,100,1
1983,57.00017,2,120,1
1983,57.00017,2,109,1
1983,57.00017,2,123,1
1983,57.00017,2,128,1
1983,57.00017,2,111,1
1983,57.00017,2,111,1
1983,57.00017,2,111,1
1983,57.00017,2,123,1
1983,57.00017,2,95,1
1983,57.00017,2,109,1
1983,57.00017,2,116,1
1983,57.00017,2,120,1
1983,57.00017,2,106,1
1983,57.00017,2,87,1
1983,57.00017,2,126,1
1983,57.00017,2,116,1
1983,57.00017,2,116,1
1983,57.00017,2,107,1
1983,57.00017,2,108,1
1983,57.00017,2,111,1
1983,57.00017,2,98,1
1983,57.00017,2,113,1
1983,57.00017,2,132,6
1983,57.00017,2,114,1
1983,57.00017,2,111,1
1983,57.00017,2,112,1
1983,57.00017,2,127,1
1983,57.00017,2,116,1
1983,57.17809,2,96,6
1983,57.17809,2,119,1
1983,57.17809,2,117,1
1983,57.17809,2,132,1
1983,57.17809,2,121,1
1983,57.17809,2,134,1
1983,57.17809,2,126,1
1983,57.17809,2,116,1
1983,57.17809,2,112,6
1983,57.17809,2,126,1
1983,57.17809,2,121,1
1983,57.17809,2,134,1
1983,57.17809,2,121,1
1983,57.17809,2,124,6
1983,57.17809,2,128,1
1983,57.17809,2,133,6
1983,57.17809,2,124,1
1983,57.17809,2,119,1
1983,57.17809,2,138,1
1983,57.17809,2,109,1
1983,57.17809,2,127,1
1983,57.17809,2,130,1
1983,57.17809,2,106,1
1983,57.17809,2,117,1
1983,57.17809,2,128,1
1983,57.17809,2,122,1
1983,57.17809,2,119,1
1983,57.17809,2,125,1
1983,57.17809,2,111,1
1983,57.17809,2,118,6
1983,57.17809,2,125,1
1983,57.17809,2,118,6
1983,57.17809,2,125,5
1983,57.17809,2,101,1
1983,57.17809,2,98,1
1983,57.17809,2,128,6
1983,57.17809,2,107,1
1983,57.17809,2,117,1
1983,57.17809,2,82,0
1983,57.17809,2,127,6
1983,57.17809,2,121,1
1983,57.17809,2,121,1
1983,57.17809,2,103,4
1983,57.17809,2,115,1
1983,57.17809,2,114,1
1983,57.17809,2,132,1
1983,57.17809,2,108,1
1983,57.17809,2,120,1
1983,57.17809,2,132,1
1983,57.17809,2,123,1
1983,57.17809,2,106,4
1983,57.17809,2,121,1
1983,57.17809,2,127,1
1983,57.17809,2,115,1
1983,57.17809,2,127,1
1983,57.17809,2,132,1
1983,57.17809,2,122,6
1983,57.17809,2,129,6
1983,57.17809,2,122,6
1983,57.17809,2,129,1
1983,57.17809,2,120,6
1983,57.17809,2,111,6
1983,57.17809,2,109,6
1983,57.17809,2,111,1
1983,57.17809,2,120,1
1983,57.17809,2,116,1
1983,57.17809,2,95,1
1983,57.17809,2,118,1
1983,57.17809,2,125,1
1983,57.17809,2,123,1
1983,57.17809,2,122,1
1983,57.17809,2,128,1
1983,57.17809,2,125,1
1983,57.17809,2,92,0
1983,57.17809,2,110,1
1983,57.17809,2,127,1
1983,57.17809,2,95,6
1983,57.17809,2,112,1
1983,57.17809,2,113,5
1983,57.17809,2,125,1
1983,57.17809,2,133,6
1983,57.17809,2,104,1
1983,57.17809,2,122,1
1983,57.17809,2,107,1
1983,57.17809,2,119,6
1983,57.17809,2,106,1
1983,57.17809,2,124,1
1983,57.17809,2,126,1
1983,57.17809,2,124,1
1983,57.17809,2,114,1
1983,57.17809,2,116,1
1983,57.17809,2,127,1
1983,57.17809,2,119,1
1983,57.17809,2,124,1
1983,57.17809,2,116,1
1983,57.17809,2,126,1
1983,57.17809,2,103,6
1983,57.17809,2,111,1
1983,57.17809,2,93,1
1983,57.17809,2,111,6
1983,57.17809,2,124,1
1983,57.17809,2,124,1
1983,57.17809,2,133,6
1983,57.17809,2,128,1
1983,57.17809,2,119,1
1983,57.17809,2,122,1
1983,57.17809,2,102,5
1983,57.17809,2,130,1
1983,57.17809,2,105,1
1983,57.17809,2,125,1
1983,57.17809,2,122,1
1983,57.17809,2,127,5
1983,57.17809,2,132,1
1983,57.17809,2,121,6
1983,57.17809,2,122,1
1983,57.17809,2,124,1
1983,57.17809,2,112,1
1983,57.17809,2,115,1
1983,57.17809,2,122,6
1983,57.17809,2,126,1
1983,57.17809,2,131,1
1983,57.17809,2,120,1
1983,57.17809,2,127,1
1983,57.17809,2,124,1
1983,57.17809,2,110,1
1983,57.17809,2,116,5
1983,57.17809,2,127,1
1983,57.17809,2,132,6
1983,57.17809,2,128,1
1983,57.17809,2,134,5
1983,57.17809,2,108,1
1983,57.17809,2,82,0
1983,57.17809,2,133,5
1983,57.17809,2,103,1
1983,57.17809,2,109,1
1983,57.17809,2,109,1
1983,57.17809,2,111,1
1983,57.17809,2,112,6
1983,57.17809,2,125,1
1983,57.17809,2,130,1
1983,57.17809,2,121,1
1983,57.17809,2,89,0
1983,57.17809,2,127,6
1983,57.17809,2,128,1
1983,57.17809,2,96,0
1983,57.17809,2,131,1
1983,57.17809,2,120,1
1983,57.17809,2,95,1
1983,57.17809,2,124,1
1983,57.17809,2,117,1
1983,57.17809,2,122,1
1983,57.17809,2,115,1
1983,57.17809,2,113,1
1983,57.17809,2,145,1
1983,57.17809,2,124,6
1983,57.17809,2,133,1
1983,57.17809,2,110,1
1983,57.17809,2,115,1
1983,57.17809,2,126,1
1983,57.17809,2,124,6
1983,57.17809,2,123,6
1983,57.17809,2,121,1
1983,57.17809,2,122,1
1983,57.17809,2,127,1
1983,57.17809,2,114,1
1983,57.17809,2,93,6
1983,57.17809,2,106,6
1983,57.17809,2,106,1
1983,57.17809,2,119,1
1983,57.17809,2,126,1
1983,57.17809,2,116,1
1983,57.17809,2,132,1
1983,57.17809,2,128,6
1983,57.17809,2,121,6
1983,57.17809,2,112,1
1983,57.17809,2,125,1
1983,57.17809,2,124,1
1983,57.17809,2,124,1
1983,57.17809,2,107,1
1983,57.17809,2,127,1
1983,57.17809,2,127,1
1983,57.17809,2,134,1
1983,57.17809,2,131,1
1983,57.17809,2,105,1
