NO. ,FECHA ,YEAR,MONTH,TEMP,SEASON,ADUANA,NOMADUANA,TIPOOPERACION,NOMTIPOOPERACION,PUERTOEMB,GLOSAPUERTOEMB,REGIONORIGEN,GLOSAREGION,TIPOCARGA,NOMTIPOCARGA,VIATRANSP,NOMVIATRANSP,PUERTODESEMB,GLOSAPUERTOEMB,PAISDESTINO,GLOSAPAISDESTINO,PAIS,NOMBRECIATRANSP,PAISCIATRANSP,MONEDA,GLOSAMONEDA,MODALIDADVENTA,GLOSAMODALIDADVENTA,CLAUSULAVENTA,GLOSACLAUSULAVENTA,FORMAPAGO,CLAUFORMAPAGO,VALORCLAUSULAVENTA,COMISIONEXTERIOR,OTROSGASTOS,VALORLIQUIDORETORNO,TOTALITEM,TOTALBULTOS,PESOBRUTOTOTAL,TOTALVALORFOB,VALORFLETE,VALORSEGURO,VALORCIF,NUMEROITEM,NOMBRE,CODIGOARANCEL,GLOSAARANCEL,UNIDADMEDIDA,CANTIDADMERCANCIA,FOBUNITARIO,FOBUS,PESOBRUTOITEM
28,12/24/2009,2009,12,2009-2010,2009,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,505,142,Euro,1,Firme,2,CFR,1,COB1,16876.22,0,1719.96,15156.26,1,34,394,15156.26,1719.96,0,0,1,sin-codigo      langosta de juan fernandez~ v y s-f~ jasus frontalis calibre 650-800grs~ vivas,3062120,Langosta viva,6,320,47.363313,15156.26,394
29,12/24/2009,2009,12,2009-2010,2009,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,541,Otros Puertos de Italia No Especificados,504,Italia,Italy,Lan Chile,997,142,Euro,1,Firme,2,CFR,1,COB1,33608.4,0,3551,30057.4,1,77,900,30057.4,3551,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,700,42.939143,30057.4,900
30,12/29/2009,2009,12,2009-2010,2009,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,4,Coquimbo,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,505,142,Euro,1,Firme,2,CFR,1,COB1,16630.16,0,2182.24,14447.92,1,38,432,14447.92,2182.24,0,0,1,sin-codigo      ~langostas de mar~ nilsfood-f~ jasus frontalis~ vivas,3062120,Langosta viva,6,326,44.318773,14447.92,432
31,12/31/2009,2009,12,2009-2010,2009,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,4,Coquimbo,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,505,142,Euro,1,Firme,2,CFR,1,COB1,11054.46,0,1573.2,9481.26,1,25,280,9481.26,1573.2,0,0,1,sin-codigo      ~langostas de mar~ nislfood-f~ jasus frontalis~ vivas,3062120,Langosta viva,6,216.7,43.75293,9481.26,280
32,12/31/2009,2009,12,2009-2010,2009,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,4,Coquimbo,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,505,142,Euro,1,Firme,2,CFR,1,COB1,7835.56,0,1513.22,6322.34,1,18,203,6322.34,1513.22,0,0,1,sin-codigo      ~ langostas vivas~ inv.nilsfood-f~ jasus frontalis~ demar,3062120,Langosta viva,6,153.6,41.161068,6322.34,203
33,2/2/2009,2009,2,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,541,Otros Puertos de Italia No Especificados,504,Italia,Italy,Aerolineas Argentinas,224,142,Euro,1,Firme,2,CFR,1,COB1,14822.66,0,1090.38,13732.28,1,44,520,13732.28,1090.38,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,400,34.3307,13732.28,520
34,2/3/2009,2009,2,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,505,142,Euro,1,Firme,2,CFR,1,COB1,12257.25,0,1456.32,10800.93,1,33,358,10800.93,1456.32,0,0,1,sin-codigo       ~ langostas vivas ~ costa viva-f~ jasus frontalis ~ calibre 600-up gramos cada una ~ vivasenteras  ~ para el cosumo humano,3062120,Langosta viva,6,300,36.0031,10800.93,358
35,2/5/2009,2009,2,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,505,142,Euro,1,Firme,2,CFR,1,COB1,9749.58,0,1208.5,8541.08,1,24,275,8541.08,1208.5,0,0,1,sin-codigo      langosta de juan fernandez~ v&s-f~ jasus frontalis calibre 650- 800grs~ vivas,3062120,Langosta viva,6,220,38.823091,8541.08,275
36,2/14/2009,2009,2,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,505,142,Euro,1,Firme,2,CFR,1,COB1,4982,0,747.78,4234.22,1,13,157,4234.22,747.78,0,0,1,sin-codigo       ~ langostas vivas ~ naviera delsur-f ~ jasus frontalis ~ calibre 600-up gramos cada una ~vivas enteras  ~ para el cosumo humano,3062120,Langosta viva,6,120,35.285167,4234.22,157
37,2/17/2009,2009,2,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,505,142,Euro,1,Firme,2,CFR,1,COB1,11333.01,0,1480.56,9852.45,1,33,364,9852.45,1480.56,0,0,1,sin-codigo       ~ langostas vivas ~ costa viva-f~ jasus frontalis ~ calibre 600-up gramos cada una ~ vivasenteras  ~ para el cosumo huma no,3062120,Langosta viva,6,300,32.8415,9852.45,364
38,2/19/2009,2009,2,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,541,Otros Puertos de Italia No Especificados,504,Italia,Italy,A Argent.,224,142,Euro,1,Firme,2,CFR,1,COB1,15352.04,0,1164.38,14187.66,1,44,532,14187.66,1164.38,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,400,35.46915,14187.66,532
39,2/19/2009,2009,2,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,541,Otros Puertos de Italia No Especificados,504,Italia,Italy,A Argent.,224,142,Euro,1,Firme,2,CFR,1,COB1,15087.35,0,1160.38,13926.97,1,44,530,13926.97,1160.38,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,400,34.817425,13926.97,530
40,3/4/2009,2009,3,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,997,142,Euro,1,Firme,2,CFR,1,COB1,12265.38,0,1577.52,10687.86,1,35,320,10687.86,1577.52,213.76,12479.14,1,"jasus           ~ langostas~ costa viva-f~ jasus frontalis~ sin congelar, para el consumo humano~",3062120,Langosta viva,6,320,33.399563,10687.86,320
41,3/5/2009,2009,3,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,10,De Los Lagos,R,General,4,Aéreo,541,Otros Puertos de Italia No Especificados,504,Italia,Italy,A Argent.,224,142,Euro,1,Firme,2,CFR,1,COB1,14262.07,0,1164.38,13097.69,1,44,532,13097.69,1164.38,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,400,32.744225,13097.69,532
42,3/7/2009,2009,3,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,561,Otros Puertos de España No Especificados,517,España,Spain,Iberia,517,142,Euro,1,Firme,2,CFR,1,COB1,11410.93,0,1320,10090.93,1,33,420,10090.93,1320,0,0,1,sin-codigo       ~ langostas vivas ~ hotelera magallanes-f ~ jasus frontalis ~calibre 600-up gramos cada una ~  vivas enteras  ~ para elconsumo humano,3062120,Langosta viva,6,300,33.636433,10090.93,420
43,3/23/2009,2009,3,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,541,Otros Puertos de Italia No Especificados,504,Italia,Italy,A Argent.,224,142,Euro,1,Firme,2,CFR,1,COB1,13498.03,0,1164.38,12333.65,1,44,532,12333.65,1164.38,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,400,30.834125,12333.65,532
44,4/3/2010,2010,4,2009-2010,2009,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,505,142,Euro,1,Firme,2,CFR,1,COB1,9807.49,0,1975.12,7832.37,1,33,368,7832.37,1975.12,0,0,1,sin-codigo      ~ langostas vivas~ nilsfood-f~ jasus frontalis~ de mar,3062120,Langosta viva,6,291.4,26.878415,7832.37,368
45,4/13/2010,2010,4,2009-2010,2009,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,492,Hong Kong,342,Hong Kong,Hong Kong,Quantas,406,142,Euro,1,Firme,2,CFR,1,COB1,9564.08,0,1340.6,8223.48,1,30,384,8223.48,1340.6,0,0,1,sin-codigo      langosta de juan fernandez~ v&s-f~ jasus frontalis calibre 600a900grs.up~ vivas,3062120,Langosta viva,6,300,27.4116,8223.48,384
46,4/13/2010,2010,4,2009-2010,2009,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,492,Hong Kong,342,Hong Kong,Hong Kong,Quantas,406,142,Euro,1,Firme,2,CFR,1,COB1,14539.58,0,1678,12861.58,1,40,530,12861.58,1678,0,0,1,sin-codigo      langosta de juan fernandez~ v&s-f~ jasus frontalis calibre 600a 950grs.up~ vivas,3062120,Langosta viva,6,400,32.15395,12861.58,530
47,4/27/2010,2010,4,2009-2010,2009,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,492,Hong Kong,342,Hong Kong,Hong Kong,Quantas,406,142,Euro,1,Firme,2,CFR,1,COB1,14539.58,0,1603.6,12935.98,1,40,506,12935.98,1603.6,0,0,1,sin-codigo      langosta de juan fernandez~ v&s-f~ jasus frontalis calibre 600a 950grs~ vivas,3062120,Langosta viva,6,400,32.33995,12935.98,506
48,4/27/2010,2010,4,2009-2010,2009,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,492,Hong Kong,342,Hong Kong,Hong Kong,Quantas,406,142,Euro,1,Firme,2,CFR,1,COB1,11813.41,0,1442.6,10370.81,1,30,414,10370.81,1442.6,0,0,1,sin-codigo      langosta de juan fernandez~ v&s-f~ jasus frontalis calibre 600a 950grs~ vivas,3062120,Langosta viva,6,325,31.910185,10370.81,414
